Area,BHK,Bathroom,IsFurnished,Parking,Price,isApartment
1750,4,4,1,1,29000000,1
1300,3,3,0,1,21900000,1
550,1,2,1,1,7500000,1
2200,4,3,0,2,23500000,1
1100,2,2,0,2,24000000,1
1700,3,2,0,2,31000000,0
1100,2,2,0,3,16500000,1
1000,2,2,1,1,5000000,0
1350,3,2,1,1,24000000,1
1184,2,2,0,1,17000000,1
2000,4,2,1,1,40000000,1
3500,4,4,0,5,22500000,0
900,3,3,1,2,20000000,0
4688,5,4,1,1,135000000,1
750,2,2,0,1,5000000,1
3901,4,4,1,1,93000000,1
950,3,2,1,1,4370000,1
1000,3,2,1,1,4620000,1
850,2,1,0,1,1900000,1
2400,4,4,0,1,70000000,1
1350,3,2,1,1,5130000,1
540,2,2,0,1,3000000,1
1387,4,4,1,1,5890000,1
540,2,2,0,1,3300000,1
976,2,2,1,1,24900000,1
1050,3,2,1,1,3700000,1
2700,4,3,0,1,60000000,0
1500,3,2,1,1,17400000,1
2900,5,5,1,1,51000000,0
5025,5,6,1,4,170000000,0
1000,3,2,0,1,5510000,0
1135,3,3,1,2,25000000,1
2306,3,3,1,1,57000000,1
850,2,2,0,1,2940000,1
1200,3,3,0,1,15500000,1
1700,3,2,0,1,17200000,1
1800,4,3,0,2,55000000,0
1100,2,2,0,1,15000000,1
22050,4,4,0,2,51000000,0
1550,4,3,0,1,13000000,0
1600,3,3,0,1,30000000,0
700,2,2,0,1,2400000,0
45,4,3,1,1,5500000,0
450,2,2,,,2900000,
540,5,2,,,17000000,
1350,3,3,,,25000000,
2250,3,2,,,10000000,
1250,2,1,0,,7500000,1
504,3,1,0,,3600000,1
65,3,2,0,,35000000,1
450,2,1,1,,6000000,1
1800,4,2,1,,17500000,0
1800,4,3,1,,35000000,0
1530,5,2,1,,10200000,0
1750,4,4,1,1,29000000,1
2210,4,3,0,1,41000000,0
760,3,2,1,1,6000000,0
400,2,1,1,1,2500000,1
380,1,1,1,1,2200000,0
904.1676,2,2,1,1,21500000,1
900,4,1,1,1,15000000,1
810,5,6,1,1,28900000,1
100,3,2,1,1,5500000,0
50,2,1,0,1,1950000,1
58,2,1,1,1,3800000,1
900,2,1,0,1,6200000,0
1650,4,3,1,1,14000000,1
1000,2,2,1,1,7500000,1
852,2,2,1,1,2670000,1
